matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_AuFSZeJ5,03.02. 20:00,Basketball Braunschweig,Vechta,103,70,29,31,23,20,,13,15,18,24,
g_3_lQQJyIlg,02.02. 18:00,Ludwigsburg,Ulm,92,71,22,19,20,31,,12,16,21,22,
g_3_4rf7WMCD,02.02. 16:30AOT,Bayern,Alba Berlin,99,86,17,21,24,18,19,17,24,15,24,6
g_3_t0NBwvKt,02.02. 15:00,Bonn,Chemnitz,80,84,21,24,23,12,,22,24,17,21,
g_3_WUeaYrr1,02.02. 15:00,Rostock,Heidelberg,88,82,22,21,22,23,,19,19,21,23,
g_3_4KBKuRkR,01.02. 20:00,Wurzburg,Oldenburg,102,112,21,26,30,25,,27,30,23,32,
g_3_z32jz5Dl,01.02. 18:30,Bamberg,Syntainics MBC,87,69,24,25,20,18,,17,14,15,23,
g_3_r5NBsmLE,01.02. 18:30,Hamburg,Gottingen,91,82,26,30,24,11,,22,19,15,26,
g_3_zyrNxVQP,30.01. 20:00,Vechta,Basketball Braunschweig,91,88,17,24,24,26,,19,17,20,32,
g_3_MaxHL5be,27.01. 20:00,Oldenburg,Alba Berlin,97,92,22,18,28,29,,23,17,35,17,
g_3_U1cxTm6L,26.01. 16:30,Hamburg,Wurzburg,68,66,16,18,17,17,,21,18,10,17,
g_3_lnv9NRTr,26.01. 15:00,Bayern,Bamberg,84,82,17,18,21,28,,21,20,15,26,
g_3_dzpVU9y9,25.01. 20:00,Ludwigsburg,Basketball Braunschweig,69,83,14,19,18,18,,23,20,19,21,
g_3_8E3z9SEk,25.01. 20:00,Ulm,Bonn,84,75,20,21,19,24,,17,22,15,21,
g_3_Gv7r76q2,25.01. 18:30,Gottingen,Syntainics MBC,80,94,13,25,22,20,,23,30,22,19,
g_3_lUM3EliS,24.01. 20:00,Vechta,Chemnitz,89,66,19,21,24,25,,15,15,18,18,
g_3_GGOeGAMF,20.01. 20:00,Wurzburg,Vechta,74,86,19,14,18,23,,16,24,24,22,
g_3_fBw1fTad,19.01. 16:30,Basketball Braunschweig,Ulm,98,89,27,23,18,30,,21,18,23,27,
g_3_MHVnIWi3,19.01. 15:00,Bonn,Frankfurt,70,77,16,25,15,14,,22,21,23,11,
g_3_2DbM1B7M,18.01. 20:00,Alba Berlin,Heidelberg,92,65,27,17,28,20,,19,15,15,16,
g_3_rBrL3XxA,18.01. 20:00,Syntainics MBC,Gottingen,93,91,17,27,29,20,,20,26,16,29,
g_3_YekhdkVq,18.01. 18:30AOT,Rostock,Oldenburg,122,118,28,24,13,23,34,26,21,27,14,30
g_3_AcpD5g8c,17.01. 20:00,Chemnitz,Hamburg,69,60,15,16,22,16,,12,11,16,21,
g_3_zTTx4tXh,12.01. 18:00,Frankfurt,Alba Berlin,61,75,14,22,12,13,,26,15,16,18,
g_3_CW3gVnJa,12.01. 16:30,Heidelberg,Bayern,59,87,12,12,24,11,,22,27,17,21,
g_3_Sznp2K15,12.01. 15:00,Ludwigsburg,Bamberg,92,73,23,26,24,19,,19,19,18,17,
g_3_v1zU522t,11.01. 20:00,Ulm,Rostock,82,72,25,23,14,20,,12,16,19,25,
g_3_Ol0KoaHO,11.01. 20:00,Vechta,Syntainics MBC,87,79,20,23,13,31,,19,19,23,18,
g_3_t683ksIa,11.01. 18:30,Gottingen,Basketball Braunschweig,86,107,24,15,16,31,,30,31,27,19,
g_3_SM6BmLnC,11.01. 18:30,Oldenburg,Wurzburg,96,85,19,19,20,38,,18,22,19,26,
g_3_KjKfi3mm,10.01. 20:00,Hamburg,Bonn,91,84,24,15,25,27,,19,24,18,23,
g_3_Yoh2TQmC,06.01. 18:30,Bamberg,Hamburg,80,83,15,19,15,31,,13,16,35,19,
g_3_6mfLx4Yg,05.01. 18:00,Oldenburg,Ludwigsburg,70,64,12,19,24,15,,17,9,19,19,
g_3_0nmUzr36,05.01. 16:30,Basketball Braunschweig,Bonn,74,94,27,20,19,8,,29,25,25,15,
g_3_l8TOdPPP,05.01. 15:00,Alba Berlin,Bayern,88,81,18,19,26,25,,27,20,18,16,
g_3_bNjDvQ3s,04.01. 20:00,Syntainics MBC,Ulm,89,92,15,33,25,16,,30,18,19,25,
g_3_EkFtpntK,04.01. 18:30,Rostock,Vechta,87,83,24,13,25,25,,21,19,19,24,
g_3_YaoxZLXI,04.01. 16:30,Chemnitz,Frankfurt,85,66,22,26,21,16,,13,14,16,23,
g_3_nqNfMrlD,03.01. 20:00,Wurzburg,Gottingen,79,78,22,21,15,21,,21,15,21,21,
g_3_rLqrDAzJ,02.01. 20:00,Bamberg,Ulm,77,98,16,22,13,26,,23,23,26,26,
g_3_tWifO4J0,31.12. 14:00,Alba Berlin,Rostock,85,96,15,32,17,21,,22,21,24,29,
g_3_bqpNPdw8,30.12. 20:00,Chemnitz,Syntainics MBC,82,72,21,18,19,24,,22,11,13,26,
g_3_8IgnQQll,30.12. 20:00,Ludwigsburg,Heidelberg,63,67,14,13,16,20,,12,21,19,15,
g_3_lYCFVnRQ,30.12. 18:30,Hamburg,Basketball Braunschweig,86,91,24,20,26,16,,22,25,27,17,
g_3_t897X8dE,30.12. 18:30,Wurzburg,Bamberg,70,82,17,21,18,14,,22,16,23,21,
g_3_CW9wRiHi,29.12. 18:00,Frankfurt,Bayern,84,91,25,22,21,16,,25,27,22,17,
g_3_hnsFRI8e,29.12. 16:30,Bonn,Gottingen,80,67,17,25,20,18,,14,13,14,26,
g_3_dKm6Tvvq,29.12. 15:00,Vechta,Oldenburg,98,91,36,23,21,18,,20,21,27,23,
g_3_U5XPm9Pc,28.12. 18:30,Syntainics MBC,Alba Berlin,94,76,22,21,21,30,,21,29,12,14,
g_3_O8pvQ5Xj,27.12. 20:00,Bamberg,Chemnitz,81,80,17,25,14,25,,15,22,20,23,
g_3_WA5aXmuH,27.12. 18:30,Basketball Braunschweig,Oldenburg,83,82,27,21,20,15,,19,19,19,25,
g_3_zqCjZ9A4,26.12. 18:00,Ludwigsburg,Frankfurt,82,61,23,19,18,22,,16,10,15,20,
g_3_2VDryWuh,26.12. 18:00,Rostock,Hamburg,92,78,30,20,21,21,,20,23,15,20,
g_3_2uHdDSmo,26.12. 16:30,Bonn,Wurzburg,81,90,29,22,18,12,,20,22,19,29,
g_3_WdQQIlQN,23.12. 20:00,Frankfurt,Ulm,87,85,25,15,24,23,,21,21,23,20,
g_3_2HY9MWQb,22.12. 16:30,Bayern,Oldenburg,89,75,24,18,25,22,,21,15,11,28,
g_3_rFI8Ohdn,22.12. 15:00,Gottingen,Alba Berlin,83,109,19,16,18,30,,22,30,34,23,
g_3_AsxIKAeB,22.12. 15:00,Heidelberg,Bamberg,68,79,21,18,11,18,,15,20,22,22,
g_3_Wzkj6BtI,21.12. 20:00,Chemnitz,Bonn,88,123,19,25,19,25,,38,32,25,28,
g_3_2ecZ9gsg,21.12. 20:00,Wurzburg,Syntainics MBC,86,76,15,24,25,22,,15,23,20,18,
g_3_OAor8XB5,21.12. 18:30,Basketball Braunschweig,Rostock,80,63,12,19,26,23,,22,12,7,22,
g_3_S2ra4kBU,21.12. 18:30,Hamburg,Ludwigsburg,66,73,12,17,22,15,,15,20,16,22,
g_3_8b3nPVo4,18.12. 20:00,Syntainics MBC,Ludwigsburg,76,70,21,15,16,24,,15,8,19,28,
g_3_pKQ8gYdC,15.12. 16:30,Ludwigsburg,Chemnitz,69,65,14,20,19,16,,15,20,13,17,
g_3_IXOGiCRO,15.12. 15:00,Oldenburg,Gottingen,111,94,24,30,26,31,,33,20,22,19,
g_3_dbfRBFCt,15.12. 15:00,Rostock,Bayern,70,80,19,21,15,15,,14,24,28,14,
g_3_dx7KFODE,14.12. 20:00,Vechta,Hamburg,69,79,18,17,21,13,,23,17,22,17,
g_3_GQJhcGcm,14.12. 18:30,Bamberg,Bonn,92,73,24,19,27,22,,14,25,14,20,
g_3_UVEYiLL7,14.12. 18:30,Ulm,Heidelberg,67,69,20,28,12,7,,22,11,17,19,
